sim_time,zone,baseline_schedule_setpoint_c,runtime_written_setpoint_c,clg_setp_sch_actuator_write,safetyshield_result,following_zone_temperature_c
07-15T00:15,SPACE1-1,23.9,24.9,True,approved,21.709545981078833
07-15T01:15,SPACE1-1,24.9,25.9,True,approved,21.480160241773824
07-15T02:15,SPACE1-1,25.9,26.9,True,approved,21.260098069107162
07-15T03:15,SPACE1-1,26.9,27.9,True,approved,21.074592734486323
07-15T04:15,SPACE1-1,27.9,28.0,True,approved,21.288305768027545
07-15T05:23,SPACE1-1,28.0,28.0,True,approved,22.259281419623754
07-15T06:19,SPACE1-1,28.0,27.0,True,approved,22.3449646301428
07-15T07:15,SPACE1-1,27.0,26.0,True,approved,23.181358033947816
07-15T08:20,SPACE1-1,26.0,25.0,True,approved,24.50329566236345
07-15T09:23,SPACE1-1,25.0,24.0,True,approved,23.997981376856483
07-15T10:15,SPACE1-1,24.0,24.2,True,approved,24.19814147995682
07-15T11:15,SPACE1-1,24.2,24.2,True,approved,24.198675168900763
07-15T12:15,SPACE1-1,24.2,24.2,True,approved,24.198937210167966
07-15T13:15,SPACE1-1,24.2,24.2,True,approved,24.198463706458547
07-15T14:15,SPACE1-1,24.2,24.2,True,approved,24.19824754785229
07-15T15:15,SPACE1-1,24.2,24.2,True,approved,24.198499076395883
07-15T16:15,SPACE1-1,24.2,24.2,True,approved,24.198418976632773
07-15T17:15,SPACE1-1,24.2,24.2,True,approved,23.979204429758955
07-15T18:23,SPACE1-1,24.2,24.2,True,approved,23.052620924011826
07-15T19:23,SPACE1-1,24.2,24.4,True,approved,22.78163002852041
07-15T20:23,SPACE1-1,24.4,25.4,True,approved,22.8045611455443
07-15T21:15,SPACE1-1,25.4,26.4,True,approved,22.409040630586905
07-15T22:15,SPACE1-1,26.4,27.4,True,approved,22.232238660657963
07-15T23:15,SPACE1-1,27.4,28.0,True,approved,22.091746139478367
07-16T00:15,SPACE1-1,28.0,28.0,True,approved,21.843622254454445
07-16T01:15,SPACE1-1,28.0,28.0,True,approved,21.651014211061856
07-16T02:15,SPACE1-1,28.0,28.0,True,approved,21.590579054413837
07-16T03:15,SPACE1-1,28.0,28.0,True,approved,21.532702828108796
07-16T04:15,SPACE1-1,28.0,28.0,True,approved,21.932790431377292
07-16T05:23,SPACE1-1,28.0,28.0,True,approved,22.5288518192775
07-16T06:20,SPACE1-1,28.0,27.0,True,approved,22.896660927852558
07-16T07:23,SPACE1-1,27.0,26.0,True,approved,24.115829446647027
07-16T08:19,SPACE1-1,26.0,25.0,True,approved,24.682134270802358
07-16T09:23,SPACE1-1,25.0,24.0,True,approved,23.998180288783395
07-16T10:15,SPACE1-1,24.0,24.2,True,approved,24.198181291845366
07-16T11:15,SPACE1-1,24.2,24.2,True,approved,24.198758738739635
07-16T12:15,SPACE1-1,24.2,24.2,True,approved,24.198939023884098
07-16T13:15,SPACE1-1,24.2,24.2,True,approved,24.19844993894724
07-16T14:15,SPACE1-1,24.2,24.2,True,approved,24.198288124180916
07-16T15:15,SPACE1-1,24.2,24.2,True,approved,24.198419426064852
07-16T16:15,SPACE1-1,24.2,24.2,True,approved,24.198347386966297
07-16T17:15,SPACE1-1,24.2,24.2,True,approved,24.140075617688705
07-16T18:15,SPACE1-1,24.2,24.2,True,approved,23.59225335393275
07-16T19:23,SPACE1-1,24.2,24.2,True,approved,23.462267280720624
07-16T20:20,SPACE1-1,24.2,25.2,True,approved,23.59105142329596
07-16T21:15,SPACE1-1,25.2,26.2,True,approved,23.15467356615041
07-16T22:15,SPACE1-1,26.2,27.2,True,approved,22.84266997965662
07-16T23:15,SPACE1-1,27.2,28.0,True,approved,
